City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,salalah,17.0151,54.0924,24.72,72,41,2.56,OM,1700531848
325,beidaihehaibin,39.8222,119.5181,10.43,59,96,3.42,CN,1700531849
326,rio preto da eva,-2.6994,-59.6997,23.35,98,100,1.72,BR,1700531850
327,emerald,-23.5333,148.1667,26.86,69,100,6.07,AU,1700531851
328,westerland,54.9079,8.3033,7.01,93,100,6.17,DE,1700531851
329,blackwell,36.8045,-97.2828,8.01,84,100,9.26,US,1700531852
330,tazacorte,28.629,-17.9293,26.75,21,0,4.02,ES,1700531853
331,bryne,58.7354,5.6477,5.55,86,100,2.06,NO,1700531641
332,westport,41.1415,-73.3579,4.39,50,0,5.14,US,1700531854
333,bukama,-9.2,25.85,20.86,96,93,1.2,CD,1700531855
334,galle,6.0367,80.217,26.23,87,96,1.55,LK,1700531856
335,finspang,58.7058,15.7674,0.06,97,69,3.18,SE,1700531856
336,remire-montjoly,4.9167,-52.2667,27.02,89,40,0.0,GF,1700531857
337,bandarbeyla,9.4942,50.8122,27.32,68,79,5.1,SO,1700531737
338,staritsa,56.5075,34.9354,-8.01,76,28,3.19,RU,1700531858
339,kish,26.5578,54.0194,25.15,65,100,3.09,IR,1700531688
340,salym,60.0625,71.4789,-12.19,96,42,1.78,RU,1700531860
341,alesund,62.4723,6.1549,-0.14,80,40,4.12,NO,1700531860
342,angaur state,6.906,134.13,29.29,76,0,5.72,PW,1700531861
343,aripuana,-9.1667,-60.6333,24.29,80,72,0.68,BR,1700531862
344,arar,30.9753,41.0381,13.01,76,0,4.12,SA,1700531862
345,tetyushi,54.9382,48.8366,-1.45,94,100,4.59,RU,1700531863
346,markala,13.7021,-6.0659,25.15,18,22,4.19,ML,1700531863
347,tsiombe,-25.3,45.4833,22.07,98,41,1.31,MG,1700531864
348,rio brilhante,-21.8019,-54.5464,23.52,89,100,2.2,BR,1700531865
349,lorengau,-2.0226,147.2712,29.66,71,66,4.06,PG,1700531865
350,bathsheba,13.2167,-59.5167,27.34,78,20,5.66,BB,1700531866
351,moranbah,-22.0016,148.0466,28.95,47,100,3.47,AU,1700531866
352,quellon,-43.1167,-73.6167,8.24,90,76,4.6,CL,1700531867
353,guozhen,34.3659,107.359,14.61,51,18,1.23,CN,1700531868
354,lincoln city,44.9582,-124.0179,10.39,71,99,5.36,US,1700531868
355,bereeda,11.8704,51.0579,25.77,79,8,2.69,SO,1700531869
356,colonia menno,-22.3667,-59.8167,29.69,50,100,4.89,PY,1700531870
357,boulsa,12.6675,-0.5758,25.38,20,17,3.95,BF,1700531870
358,galliano,29.4422,-90.2992,24.0,88,0,3.6,US,1700531871
359,nuuk,64.1835,-51.7216,-2.75,87,100,1.74,GL,1700531871
360,new norfolk,-42.7826,147.0587,18.72,36,66,1.1,AU,1700531872
361,kachug,53.9606,105.8817,-8.3,82,100,1.34,RU,1700531873
362,ancud,-41.8697,-73.8203,9.63,89,99,6.35,CL,1700531873
363,sosnovo-ozerskoye,52.5249,111.5418,-10.9,75,99,3.4,RU,1700531874
364,sao joao do paraiso,-15.3136,-42.0144,20.79,55,54,2.43,BR,1700531875
365,tura,25.5198,90.2201,21.39,75,0,0.76,IN,1700531876
366,novospasskoye,53.1468,47.7514,-0.35,98,100,2.77,RU,1700531877
367,letterkenny,54.95,-7.7333,7.39,80,97,3.45,IE,1700531877
368,newman,37.3138,-121.0208,14.13,67,0,0.65,US,1700531799
369,kalemie,-5.9475,29.1947,21.23,88,100,1.85,CD,1700531878
370,labrador city,52.9463,-66.9114,-8.05,86,75,2.57,CA,1700531879
371,timbiqui,2.7717,-77.6654,24.23,91,72,0.79,CO,1700531880
372,coyhaique,-45.5752,-72.0662,5.97,81,100,3.6,CL,1700531880
373,kingston,17.997,-76.7936,27.53,74,20,2.57,JM,1700531808
374,malango,-2.9627,119.9001,27.28,66,51,1.79,ID,1700531881
375,sittwe,20.15,92.9,24.97,85,69,2.45,MM,1700531882
376,langxiang,46.95,128.8833,1.34,92,100,2.61,CN,1700531883
377,escanaba,45.7453,-87.0646,4.17,87,0,2.06,US,1700531821
378,den burg,53.0542,4.7972,11.09,90,100,2.06,NL,1700531884
379,kayangel,8.0823,134.7173,29.13,77,0,5.1,PW,1700531886
380,korla,41.7597,86.1469,3.54,49,0,2.13,CN,1700531887
381,braslaw,55.644,27.0455,-6.2,89,32,1.85,BY,1700531887
382,brookings,44.3114,-96.7984,5.03,94,75,0.0,US,1700531723
383,munsan,37.8594,126.785,8.45,38,0,1.11,KR,1700531889
384,thaba nchu,-29.2093,26.839,16.67,63,100,2.29,ZA,1700531889
385,pernio,60.2,23.1333,-0.28,90,94,2.38,FI,1700531890
386,yinchuan,38.4681,106.2731,6.45,21,6,0.75,CN,1700531891
387,ta`u,-14.2336,-169.5144,27.04,72,9,7.32,AS,1700531891
388,padang,-0.9492,100.3543,26.03,85,100,1.51,ID,1700531892
389,cherykaw,53.5692,31.3793,-6.6,79,17,2.28,BY,1700531893
390,mejit,10.2753,170.8646,27.47,77,100,8.19,MH,1700531893
391,juan griego,11.0817,-63.9655,25.8,91,100,3.66,VE,1700531894
392,slonim,53.0867,25.3219,-4.39,59,28,3.22,BY,1700531895
393,san antonio de pale,-1.4014,5.6325,25.83,80,74,1.12,GQ,1700531896
394,rundu,-17.9333,19.7667,25.05,41,68,1.82,NA,1700531897
395,linxia chengguanzhen,35.6003,103.2064,5.76,34,50,1.07,CN,1700531897
396,huancavelica,-12.7667,-74.9833,7.14,74,100,0.37,PE,1700531898
397,lukuledi,-10.5667,38.8,24.24,78,82,2.32,TZ,1700531899
398,seabra,-12.4186,-41.7703,23.96,55,100,1.31,BR,1700531900
399,vila velha,-20.3297,-40.2925,23.97,98,100,2.57,BR,1700531900
400,tongchuanshi,35.0806,109.0897,12.6,38,0,0.66,CN,1700531901
401,mirnyy,62.5353,113.9611,-22.65,76,100,5.81,RU,1700531902
402,itacare,-14.2775,-38.9967,24.41,90,100,3.1,BR,1700531903
403,gorontalo,0.5412,123.0595,32.4,58,37,2.88,ID,1700531904
404,kaa-khem,51.6833,94.7333,-13.11,78,65,2.45,RU,1700531904
405,razole,16.4833,81.8333,22.67,92,100,3.07,IN,1700531905
406,tokar,18.4254,37.729,26.73,72,100,7.11,SD,1700531906
407,fale old settlement,-9.3852,-171.2468,28.9,67,10,5.4,TK,1700531907
